SKU,Description
45337,"BUSHING, FORD C-4, C-5, STATOR REAR (BRONZE) (64-ON) (IND# 26000D) (OEM# DOAZ-7D018-A)"
42330A,"BUSHING KIT TH700-R4, 4L60, 4L60E. 84-ON W/ 27 AND 30 SPLINE INPUT SHAFT (14 BUSHINGS) (1984-UP)"
511050,"ST PLATE, HONDA CRV, INTEGRA 1ST (OEM# 22543-P4X-000) (10T- ID:3.220"")"
011710E,"FILTER, COOLER HOUSING, NISSAN RE0F09A (JF010E), RE0F10A (JF011E) (AFTERMAKRET) (OEM# 31726-1XE0A)"
115954A,"SENSOR, INPUT SPEED, FORD 6F50 (07-UP) 3 PRONG CONNECTOR AND WIRE HARNESS 11-3/4"" LONG (OEM# AA5Z-7M101-B) (AFTERMARKET)"
57954M,"SOLENOID, SL1 SHIFT 1, TOYOTA U340E/U341E/U341F (OEM# 35240-52011)"
57958M,"SOLENOID, TOYOTA U340E/U341E/U341F, SL LOCK-UP SOLENOID 12 OHM,  (OEM# 35270-52011)"
85710EN,"FILTER, CHRSYLER 845RE, ZF8HP45 (12-ON) W/PAN (OEM# 52854834AA, 68233701AA, 1087 298 130, 0501216037, 1087298361, 0501-220-614B, 68225344AA) (AFTERMARKET)"
K5200CC-1F,"FR MODULE, GM 6T31/6T35 (3RD GEN) (2016-UP)"
K7500AA-1S,"ST MODULE, TOYOTA K120 CVT"
119752X,"FR MODULE, HONDA BAXA, MDWA, M6HA 97+"
RFE-SV453-NT,"SWITCH VALVE REPAIR KIT, NO TOOLS 0.453"" DIAMETER (FITS A604, A606, 40TE, 41TE, 42LE, 62TE, 42RLE, 45RFE, 545RFE, 65RFE, 66RFE, 68RFE)"
97756,"FILTER, TOYOTA AJA0F (10 SPEED) LANDCRUISER 300, LEXUS LX600 (2017-UP) (OEM# 35330-60100)"
FRMTOYTA52X,"FR MODULE, TOYOTA A44DE/03-72LE 92-UP"
K7500BB-1F,"FR MODULE, TOYOTA UB80E/F"
3170E-X427E,"VALVE BODY KIT, NISSAN JF015E (VERSA) (INCLUDES: FILTER 31728-3XX0C, GASKET 31397-3JX0A, VALVE BODY 31705-X427E)"
147030AX,"BUSHING KIT, TOYOTA A750 (2003-UP) (11 BUSHINGS)"
10800,FILTER  ALLISON 640/650 W/TUBE
24028,"FR PLATE A540, A541 O/D DIRECT 88-ON /540,350, 240, A140"
25830,"BUSHING KIT, TOYOTA A130, A140, A240, A245,A246 SERIES 83-ON (10 BUSHINGS)"
27830,"BUSHING KIT 4EAT-G, G4AEL, G4AHL 87-ON NON TURBO (09 PCS)"
31630A,BUSHING KIT 4L30E 89-ON. (10 BUSHINGS)
35602GSX,"OVERHAUL KIT, AW80-40LS, AW81-40LE"
41710,"FILTER, MITSUBISHI F4A32-1, F4A33-1, W4A33-1 (1990-ON) (OEM# MD735572, 46321-38010)"
45565-22800,"OVERDRIVE HUB, A4BF3"
56200-03K,"VALVE ASSY, PUMP FLOW CONTROL 5R55N, 5R55S, 5R55W"
59710B,"FILTER, AW50-42 (VOLVO S-70, SAAB) 97-UP (OEM# 30681088, 5164553, 90541934,9480049-0)"
R36424,"PUMP, C6 FRONT PUMP ASSEMBLY"
X053706,"FR ZF4HP22 4TH 87-UP , ZF5HP24 A,C HEG 97-UP"
123752BX,"FR MODULE, MITSUBISHI F1C1 CVT 07-UP"
191752X,"FR MODULE, HYUNDAI , KIA JF405E 03-ON"
79189,"MCS, AXLE VOLKSWAGEN 09K, TF-61SN *** WHEN OUT USE X129402"
K88900DL,"OVERHAUL KIT, TOYOTA A340E, A340F 4SP 2/4WD, A343F 4SP 4WD (4-RUNNER 8/00-02, TACOMA 8/00-09, LAND CRUISER 99-03, TUNDRA 2/99-04, SEQUOIA 9/00-06)"
000407,FR MODULE CHRYSLER A604 90-UP
85936A,"SPEED SENSOR INPUT/OUTPUT ZF4HP22, ZF4HP24, ZF5HP24, ZF5HP30 1976-ON AUDI/BMW OEM#0501-310-401"
29712AGSX,"OVERHAUL KIT, NISSAN RE4F04A, RE4F04V"
117710,"FILTER, TF70, TF-72SC, TF-80SD (EUROPEAN) PEUGEOT 306 (09-UP) (OEM# AWA0-21-500)"
137710,"FILTER, NISSAN RE7R01A, RE7R01H JATCO JR710, JR711E, JR712E JR RWD 7 SPEED INFINITI EX37(09-ON), FX30(11-ON), FX35(09-ON), FX50(09-ON), FX56(11-ON), G37(09-ON), M35(09-ON), M37(11-ON), M45(10-ON), M56(11-ON), Q30(11-ON), QX56(10-ON) NISSAN 370Z(09-ON) (OEM# 31705-X185D, 31705-X622B)"
073701,"ST PLATE, TOYOTA A340 FORWARD 85+"
09M927321BX,"SENSOR, INPUT SPEED 09G (WHITE CONNECTOR)"
45030A,"BUSHING KIT, GM 6L45, 6L50 (07-ON) (10 BUSHINGS)"
K7900Q-1F,"FR MODULE, AISIN WARNER TW-40LS/E/R4A12 (00-14) (21 PLATES)"
120712S,"FILTER, FORD 6F15, LONG OUTPUT 0.990"", SHORT INTAKE 0.248"" (2016-2018) FOCUS 2016-2018, ECO SPORT 2018 (OEM# FD8Z-7A098-C)"
97955J,"SOLENOID, TOYOTA A343F, SHIFT 2WAY TACOMA 2002-2008, 4 RUNNER 2002 TUNDRA 2002-2004 (OEM# 35250-30070, 35250-30060, 85420-22170, 85420-24030, 85420-24040) (AFTERMARKET)"
RHT96-355,"FR MODULE, TOYOTA/LEXUS K313 CVT  2014-ON"
118752X,"FR MODULE, HONDA (CVT) M4VA 96-00, SZCA 03-ON, SMVA, SWRA 02+"
K73900K-0,"PISTON, JF015E, STEEL, UPPER PRIMARY PISTON (INCLUDES PISTON, 3 RINGS, 1 RUBBER SEAL)"
31502GSX,"OVERHAUL KIT, VW JF506, 09A,02+ W/O PISTON"
0260130223,"SOLENOID, EPC FORD 6R60 06-UP (IND# D116941A) (BOSCH) (03 PER TRANSMISSION) (REPLACES OEM# 6L2P-7G383-AD, 6L2Z-7G383-AD)"
118710E,"FILTER, CARTRIDGE, FORD 8F57 (2019-UP) (OEM# K2GZ-7B301-A, K2GP-7B301-AA)"
127925A,"SOLENOID, TOYOTA A760, A960, AB60E/F, LINEAR SR (GREEN CONNECTOR) (OEM# 35240-50060)"
36510,"SENSOR, INPUT SPEED SENSOR, FORD 5R110W (AFTERMARKET) (OEM# 3C3Z-7M101-AA, 7C3Z-7M101-A, 8C3Z-7M101-A)"
032400,"MCS FP GM TH180, TH350, 400"
057721,"ST PLATE, TH700R4 FOR 85+"
071702,FR PLATE 722.4 MERCEDES REVERSE
075708,FR PLATE RE4R01A OVERRUN HEG 87-UP
107400,MCS RL4F03A FRONT PUMP 90+ *** WHEN OUT USE X107400
125231AKP,"CENTER SUPPORT KIT TH125, GOOD USED"
20714,METAL CLAD SEAL
26918E,PAN GASKET RE5R05A 02-UP (NON KIA) (FARPAK)
31608B,"PUMP GASKET 4L30E 90-ON (PAPER) (OPEL, BMW)"
32102,"LATHE CUT, PUMP, CHRYSLER A413, A404, A604, A606, 62TE"
32306,PUMP GASKET PUMP F4A-EL 90-ON
32328D,"PAN GASKET 4F27E, J39A 99-ON FARPAK"
33357,"BUSHING TF-8 , A518, A500 , C6 ,E4OD 62- ON"
33400,"PAN, 4T40E W/MAGNET (IND: 33400)"
33702A,"GASKET, FRONT PUMP, TH700-R4, 4L60E (L83-02)"
34109,"PAN GASKET 095, 096, 01M (NBR) 89-03 (RUBBER). (OEM#: 095-321-371, 096-321-370)"
35220,"FR PLATE AW60-40 FORWARD-GROOVED, NO WAVED 4TH"
37312AGSX,"OVERHAUL KIT, MITSUBISHI KIA A5HF1 2008-UP"
37330,"BUSHING KIT F4A41, F4A42, 95-ON. (04 BUSHINGS)"
37702GSX,"OVERHAUL KIT, A4CF1, A4CF2 2006-UP"
3857L,"LATHE CUT, FRONT PUMP TF-8, A518 (90-07) (OEM# 1942021)"
34700LXD,PAN GASKET 4L80E 93-ON FIBER (FARPAK)
41797223,PUMP GASKET 4L80E 91-ON (OEM# 8677782)
41938,"PAN GASKET 4T60E, 4T65E 91-ON, FARPAK"
45309T,"PAN GASKET C4, C5 64-82 (CORK)"
46131-3B600,"METAL CLAD SEAL, KIA A6MF1 PUMP OEM"
46140-22730,"SUPPORT, PUMP STATOR A4BF3"
49930A,BUSHING KIT A604. 96-00. (09 BUSHINGS)
53428,"LATHE CUT SEAL, PUMP 5R55N, 5R55W (00-10) (OEM# XW4Z-7A248-AA)"
70239,"M/C SEAL AR4, VW 095, 096, 097098 90-ON PUMP"
75200,"O RING, FRONT PUMP TOYOTA A130, A140, A240, A245, A340, A540E, A540, A650E, (OEM# 90301-99024)"
75311,"MCS, AXLE (LEFT), TOYOTA A240E/H (MS7), A242L,  A244E, 1984-99 A245E, A246E (MU4), U440/U441E (OEM# 90311-34013)"
94217-33000,"SENSOR, REED ACCENT 00+"
96705B-P,"CD4E SPROCKET GEAR, OVERDRIVE REV RING, USED, 55 TOOTH .900"" WIDE"
GM-HT-HS,"T-HUB, 30T, HS"
GM-O-1V,"O-RING, THM 298 MM LU"
K36960A,"SPRAG C6, E4OD 4R100 KIT, SPRING & ROLLER OVERRUN (LOW) CLUTCH WITHOUT BRASS WASHER"
K63900F,"OVERHAUL KIT, NISSAN RL4F03A/V, RE4F03A/V, 90-05"
K77900T,"OVERHAUL KIT, R4A51, V4A51, R5A51, V5A51"
R35729,350 L&R SPRAG/CTR.SUPT (Early)
SUB-K580,SUB KIT DRUM SEAL TOYOTA MX17. DIRECT CLUTCH
TX-800,"PLATE, FLEX, IRREGULAR HOLES. CHRYSLER T/F8 (22980)"
272708-160SM,"FR PLATE, MAZDA-G4AEL, G4AHL, GF4AEL, 3/4 OVERDRIVE (OEM# FU2G-19-370) (OD: 4.644"" - 50T)"
129752X,"FR MODULE, VW/AUDI AW TF60SN, 09G 03-UP"
028716,FR CHRYSLER TF8 727 A518 RR HEG 62+
RZP-001,Z-PACK GM 4L60E 3-4 1988-UP
512051,FR FORD 4R100 OD W/GROB SMOOTH 99+
512045,FR FORD E4OD COAST 88+ BLACK
RB54000,BAND AODE/ 4R70W OVERDRIVE FLEX. 1992-2000
MZ-B-1,BUSHING SONNAX (ORIGIN TAIWAN)
MZ-B-1A,BUSHING SONNAX (ORIGIN TAIWAN)
T22002C-VZ,"OHK TF-8, A727 71-ON WITH FULL METAL RING KIT"
77121,"MCS, AXLE (RIGHT) HYUNDAI F4A41, F4A42 (SANTA FE, ELANTRA 7/00-06, SONATA 6/01-06, TIBURON 10/01-06), A4CF1, A4CF2, A5CF1, A5CF2, A5GF1, A5GF2, A5HF1 (OEM# 43119-39020) (COLOR BLUE)"
5078708AC,"SENSOR, TRANSDUCER 62TE OEM (06-UP) (OEM# 5078708AC)"
120001,"BUSHING, PUMP RENAULT DPO AL4"
120002,"BUSHING, DRUM RENUALT DPO"
70276,"MCS  CONVERTER ZF4HP18, ZF5HP19, ZF4HP20 86-ON"
86210,"BUSHING, PUMP, TOYOTA A40, A130, A240, A340, A750, A760, AC60E/F, AW81-40, U140, U240, U441E, TF-70, CHRYSLER 62TE, AW50-40LE, AW55-50SN, AW60-40LE, MAZDA SJ6A-EL,"
77760,"PUMP GASKET F4A41, F4A42"
83288,O RING FRONT  PUMP ZF4HP16
79704X,"PAN GASKET, FORD TF-81SC (CORK & RUBBER) (12 HOLES)"
75068,"MCS, PUMP, TOYOTA A750, A960 (OEM# 90311-38083)"
46226,"MCS, FRONT PUMP, TOYOTA VAR A40, A130, A240, A245, A340, AW60-40 (RED) (OEM# 90311-38082)"
77100LXD,PAN GASKET FARPAK A4CF1
79243A,"MCS, FRONT PUMP VW (09G (TF60SN) 2003-13, 09K 2004-13, 09M 2006-13 (OEM# 09G-321-243)"
63701LXD,PAN GASKET NISSAN RL4F03A FARPAK
48632,MCS HONDA 4 SP
52110,LATHE CUT SEAL
75046,"MCS, AXLE (DIFFERENTIAL SIDE) U340, AXLE (CASE SIDE) TOYOTA K313,"
54253-01,"BELL HOUSING BUSHING GM 180C (3L30), 4L30-E, AR25, AR35"
42402GSX,"OVERHAUL KIT, GM 6T30E 09+"
69720,"FILTER, JR405E, RC4A-EL, ISUZU RODEO, ISUZU DMAX, MAZDA COMMERCIAL VEHICLES (UTES & VANS) (TUBE 13.90 MM HIGH) (OEM# 897-331-0630)"
26919A,"PAN GASKET, JR403E, RE4R03A, RG4R01A FARPAK (OEM# 31397-51X02) 88-02"
512247,"FR ZF4HP16 B,E,F CLUTCH HEG 04+"
90243,"MCS, FRONT PUMP 096, 097, 098, 01M, 01N, 01P, A4R, AD4, AD8"
75069,"MCS, AXLE (LEFT/CASE SIDE) TOYOTA U240, U241, U250, U660, U760 (2WD) (OEM# 90311-50026)"
48209,"MCS, AXLE  (DIFFERENTIAL HOUSING SIDE) HONDA 4SPD, CVT"
63703LXD,"PAN GASKET, NISSAN TIIDA RE4F03B 07-UP (OEM# 31397-31X0A) FARPAK"
73903,"MCS, CONVERTER TO CASE NISSAN JF015E, CVT-7, RE0F11A (10-14)"
31568,"GASKET, PUMP CHRYSLER 62TE (07-11) (OEM# 5078568AA)"
512450,"FR PLATE, FORD C6, 5R110W REVERSE (76-ON) (OEM# D6AZ-7B164A, 3C3Z-7B164CA)"
34006-SP,"BUSHING, CASE, NO WALK-OUT TH400, 4L80-E, 4L85-E"
79117,"MCS, CONVERTER SIDE AXLE TF-81SC (MKZ, ZEPHYER, MILAN, FUSION) (05-12) (OEM# 6E5Z-1177-D)"
77801LXD,"PAN GASKET, HYUNDAI A6MF1 (FARPAK)"
173704-190,"FR PLATE, TOYOTA A750E/F, FORWARD (OEM# 35633-60070)"
13601E,"PUMP GASKET, GM 4L30E (ALL, EXC. EUROPE) (89-04) (OEM# 8-96014-973-0)"
73653,"BUSHING, PUMP JF414E, RE4F03C"
77533,"MCS, HYUNDAI A6MF1 (09-12), 6F24 (12-14), AXLE (CONVERTER SIDE) (OEM# 45245-3B300)"
65710B,"FILTER, GM TH200-4R (81-90) (OEM# 8634223, 8657789)"
40096,"MCS, VOLKSWAGEN 01M, OUTPUT SHAFT (LARGE 52 MM) (OEM# 096-323-862A)"
40059,"O RING, VOLKSWAGEN 01M"
40259,"O RING, VOLKSWAGEN 01M"
75102,"O RING, VOLKSWAGEN 01M"
181712-163,"FR PLATE, JF015E, RE0F11A REVERSE 10+"
56812,"BUSHING, PUMP MERDEDES BENZ 722.6"
512735,"FR PLATE, NISSAN RE4R01A OVERRUN"
59466,"MCS, PUMP, FORD 6F35 (0.300"" TALL) (13-14) (OEM# 9L8P-7A248-BB)"
512936,"FR PLATE, MERCEDES BENZ 722.4 (W4A020), 722.5 (W5A030) REVERSE (IND# 68110, A68110) (OEM# 201-272-0025) (BLACK- 30T- OD:6.010""- 2MP)"
26971B,"WASHER, STATOR TO REVERSE DRUM (0.051 IN THK) RE4R01A, R4AXEL, RE4F02A, RL4F02A (85-ON)"
89738,"WASHER, PLANETARY CARRIER #2, TOYOTA A130/A240/A245/A140"
86453,"MCS,CONVERTER HUB (PUMP) TOYOTA AB60E, AB60F, AA80E (TL-80SN) 07-ON"
48633,"MCS, HONDA B6VA, B7VA, B7XA, B7YA, B7TA, BAXA, MAXA, R0, MPRA, P1 AXLE (CONVERTER HSG SIDE). BZKA, MZKA, MCVA, MRVA, M7WA, B7WA, MGFA, BGFA, BAYA, MAYA, BDGA, MGHA, BYBA, BGHA, BVGA, BGRA, BCLA, MCLA, MRMA, MKYA, GPLA, MKZA, GPPA AXLE (DIFFERENTIAL HSG SIDE), HONDA / ACURA MDKA, BDKA, MDRA, MDPA, BVLA, PVLA, P35A, BVGA, P34A, BJFA, MJFA, PSFA AXLE (CASE SIDE) (OEM# 91205-P0X-005)"
119744P,"FILTER, VW / AUDI / SKODA, 0BH, 0BT, ODL, DQ500 (7 SPEED DSG) PLASTIC (OEM# 0BH325429C)"
37990,"SWITCH MANIFOLD PRESSURE, ALLISON 1000/2000 (03-ON) (OEM# 24293418, 29542585, 29546972)"
R505150,"FR PLATE, GM TH-700R4, FORWARD (1ST DESIGN) (82-84) (IND# 77103, A77103) (OEM# 8647350) (Tan- 41T- OD:5.313""- PL)"
75714ALXD,"PAN GASKET, TOYOTA K111, K112 (03-15) (OEM# 35168-20010)"
61702X,"PAN GASKET, CHRYSLER 42RLE (CORK & RUBBER)"
12956,"MCS, CHRYSLER A500, A518, 42RLE, ADAPTER SEAL (4X4) (OEM# 4269956)"
K9800E-1F,"FR MODULE, HONDA BZKA/MNZA (2WD), BZNA/MZKA (4WD), MZJA/BZJA (2WD), MZHA/BZHA (4WD), M91A/B90A, MM7A 4 Shaft, 5 Speed  (07-11) (25 PLATES)"
SUB-K63799,"SUB KIT, ACCUMULATOR SPRING NISSAN RL4F03A"
98207,"MCS, CONVERTER HOUSING, HONDA MT4A (2010-13), ARP6, M7PA (2010-13), PV2A, MV2A (2011-12), PJ8A (2014-15), M8EA (2011-12), MMHA (2012-14), PLXA (2016-17), PF4A (2017), B8BA, BZ0A, MMGA (2012-14), B8CA (2013-17), PJ7A (2014-15), M9RA (2014-17), BB7A (2013-17), BY9A (2013-15), BYKA (2011-13), PYRA (2014-17), PLWA (2016-17), PF5A (2017) (OEM# 91207-RT4-003)"
36246A,"MCS, CONVERTER HUB, FORD 5R110W (OEM# 3C3Z-7A248-AA)"
48154,"MCS, HONDA, CONVERTER HOUSING, M5HA, M5DA, MPYA, MR9A, MDKA (2003-04), BDKA (2005-06), MDRA, MDPA (2002-08), BVLA, PVLA, P35A, BVGA, P34A (2006-08), BJFA, MJFA, PSFA (2006-14), MURA, MJBA, BWEA, BT3A, BDHA, BDGA, BK3A, BK4A, MJBA, BYFA, MM2A, BGRA, PGRA, B36A, BV1A, PV1A, P36A, PN4A, PN3A, B97A, B98A, P79A, BBSA, BBTA (OEM# 91207-PY4-004, 91207-PR9-003, 91205-P0X-005)"
77714,"MCS, PUMP, HYUNDAI A4CF0 (2006-2018)"
48201,"MCS PUMP, CONVERTER HOUSING, HONDAG4, L5, PL5X, B7ZA, M7ZA, B7VA, B7XA, B7YA, B7TA, MPZA, BZKA, MZKA, MCVA, MRVA, M7WA, B7WA, MGFA, BGFA, BAYA, MAYA, BDGA, MGHA, BYBA, BGHA, BVGA, BGRA, BCLA, MCLA, MRMA, MKYA, GPLA, MKZA, GPPA, MCTA, SPCA, MPCA, BRZA, SMMA, SPAA, SP5A, MP5A, MZ2A, BZKA, MNZA, BZNA, MZKA, MZJA, BZJA, MZHA, BZHA, MM7A, M91A, B90A, B5LA, B5MA, B5RA, B5SA, M8SA, BJ1A (OEM# 91207-P7Z-003, 91207-PG4-005)"
511936,"ST PLATE, NISSAN RL/N4F02A HIGH(PULSAR) .118"
511958,"ST PLATE, NISSAN RE4R03A LOW/REV STEEL 88-UP"
511051,"ST PLATE, HONDA M4TA, MDMA, MDLA, S4XA, SKWA, LOW/HOLD (95-01) (OEM# 22543-PS5-013) (18T- ID:2.800"")"
4L60E-LB2,"KIT, LINE PRESSURE BOOSTER KIT, GM 4L60E, 4L65E, 4L70E (CONTENTS: PRESSURE REGULATOR SPRING, O-RINGS (2), LARGE RATIO BOOST ASSEMBLY)"
71702LXD,"PAN GASKET, MAZDA FW6A-EL (2012-2015)"
R475090T,"FRIC RNG, .075 TAN, 9.500 X 8.500 X .075, FORD 4F27E, GM 4T65E (258 MM), MAZDA G4A-EL, VW 01M"
R475551T,"FRIC RNG, .075 TAN, 11.250 X 10.000 X .075, FORD AODE LOCK-UP,"
32366,"MCS, AXLE LEFT AND RIGHT, CHRYSLER A604 (OEM# 4412522AB)"
98716,"FILTER, HONDA 5 SPD, BYFA, MJBA (OEM# 25420-RJB-L01, 25420-RWE-004, 25420-RWE-014)"
127927,"SOLENOID, TOYOTA A750, S2 (OEM# 35250-60010) (AFTERMARKET)"
231207,"BUSHING, FORD 10R80, GM 10L80, 10L90 CONVERTER"
HO-O-36,"SEAL, HONDA B36A/P36A, B7TA, B7VA, B7YA, MPYA (MATERIAL: PTFE, SCARF CUT, HEIGHT: 0.052"", WIDTH: 0.079"", OUTER DIAMETER.: 1.417"")"
75952,"BUSHING, FRONT PUMP, TOYOTA K111, K112, K310, K311, K313"
R400276F,"FR PLATE MERCEDES 722.6 TORQUE CONVERTER .92"" (REPLACES R400277F)"
JF010E-FC,"FLOW CONTROL VALVE REPAIR FOR JF010E (RE0F09A, RE0F09B)"
79226,"MCS, FRONT PUMP, TF-70 (2006-2011), TF-72SC (2013-2018), AW80-40LS (2013) (OEM# 2263.38, 25188150)"
GM-O-2V,"O-RING, CONVERTER, GM 4L80-E (Dual Stator), 4L80-E (Early Single Stator), 4L80-E (Late Single Stator)"
122952,"SOLENOID, JF506, SHIFT ""B"", LAND ROVER, VW, JAGUAR, MAZDA (OEM# 31941-PR000)"
33925,"MCS, PUMP, FORD 10R80, GM 10L60, 10L80/90 (OEM# HL3Z-7A248-A, 24269256)"
67436A,"FILTER, DAIHATSU S200V FR (OEM# 35303-97502, B14303)"
M11-0,"FR PLATE, BTR M11 DSI, C2 CLUTCH (OD: 5.961"" - 33T)"
75716LXD,"PAN GASKET, TOYOTA CVT K114 (FARPAK)"
302700-160,"FR PLATE AUDI, VW FORWARD 89-ON 095, 096, 097, 098, 01M. (IND# 34124) (OEM# 095-323-241A) (OD: 4.800"" - 24T)"
295700-160,"FR PLATE, NISSAN JF414, OVERDRIVE (OD: 4.091"" - 20T)"
136752X,"FR MODULE, TOYOTA U140E/F"
127930A,"SOLENOID, LINEAR SL1/SL2, TOYOTA A760 (04-UP), 2 BLADE BLACK CONNECTOR NO HOLE IN METAL END (OEM# 35240-50010) AFTERMARKET"
79984,"BUSHING, PUMP, TF-80SC/SD, TF-81SC (AF21)"
98713,"FILTER, HONDA ACURA MURA (ACCORD HYBRID 05-07) (OEM# 25420-RCK-004)"
98713A,"FILTER, HONDA ACURA MJBA (5 SPD) (ACURA RL) (OEM# 25420-RJB-004)"
079752DX,"FR MODULE, BTR M78 (575R6) 6SP FWD DC5A SSANGYONG"
0260130222,"SOLENOID, EPC FORD 6R60 06-UP (IND# D116941AB) (BOSCH) (03 PER TRANSMISSION) (REPLACES OEM# 6L2P-7G383-BD, 6L2Z-7G383-BD)"
55547,"MCS, FRONT PUMP, MERCEDES BENZ 722.0, 722.1 (70-83) (OEM# 004-997-0547)"
37700LXD,"PAN GASKET, FORD AOD (80-93) (FARPAK) (OEM# E0AZ-7A191-A/B)"
322706-210S,"FR PLATE, ZF8HP55, ZF8HP75, C/E CLUTCH (EXTERNAL SPLINE) (ID: 5.334"" - 32T)"
5010884AD,"SILICONE, MOPAR TRANSMISSION RTV SILICONE SEALANT (OEM)"
512926,"FR PLATE, ZF4HP24, D CLUTCH (REVERSE) (87-99) (IND# 82109A) (OEM# 1043-217-015) (OD:5.630"" - 58T)"
31705LXD,"GASKET, TRANSFER GEAR COVER , CHRYSLER 62TE (07-15)"
199752AX,"FR MODULE, TOYOTA U760"
62706LXD,"PAN GASKET, NISSAN JR710E, JR711E (RE7R01A) (208-2012) (OEM# 31397-1XJ0A)"
37752,"MCS, FORD 10R80, EXTENSION HOUSING (2WD) (OEM# HL3Z-7052-A)"
148710P,"FILTER W/PAN, DSG 0DT, 8 SPEED DUAL CLUTCH (OEM# 0DT317165)"
62579,"VALVE BODY GASKET, MAIN VB, RE5R01 (OEM# 3171-60X01)"
34168,"LATHE CUT, EXTENSION HOUSING 4L80E (90-2011) (OEM# 8681168)"
278716-240S,"FR PLATE, HYUNDAI A8LF1, 3-7 REVERSE CLUTCH (EXTERNAL SPLINE) (ID: 6.299"" - 36T)"
59649,"MCS, FORD 8F35, CONVERTER PUMP (18-23) (OEM# JM5Z-7A248-E)"
73342,"MCS, NISSAN JF017 (2WD), AXLE SIDE (2014-UP), JF019 CONVERTER SIDE (2015-2021) (OEM# 38342-3WX0D)"
98523,"MCS, HONDA MCTA, BZKA, MNZA, BZNA, MZKA (2007-11), MZJA, BZJA, MZHA, BZHA (2007-12), MM7A (2009-11), M91A, B90A (2008-12), B5LA, B5MA, B5RA, B5SA, M8SA (2012-14) BJ1A (2012-15) BC5A, MC4A (2013-17), BLJA, BLKA (2015-16), BCGA (2016-17), MCKA, BRGA, BRHA, BRJA, BRKA (2017) AXLE CONVERTER SIDE, MCVA, MRVA, MRMA, MKYA, GPLA, MKZA, GPPA, SPCA, MPCA, BRZA , SMMA, SPAA, SP5A, MP5A, SZCA, MWWA, MFHA, AXLE (CONVERTER SIDE), MCTA AXLE (DIFFERENTIAL, CONVERTER SIDE), SPSA, SMLA , STYA, SBLA, SLSA, S5RA, SWRA, SG0A, AXLE (FLYWHEEL SIDE) (OEM# 91206-PHR-003, 91206-RCT-003)"
41125,"GASKET, VALVE BODY, TH180 (UPPER) (EXC AUSTRALIAN) (87-98) (OEM# 5258155)"
46-PLT-09,"VALVE BODY PLATE, 4L60E 09-13 (TRANSGO)"
127927A,"SOLENOID, TOYOTA A760, A960, AB60E/F, LINEAR S2 (BLUE CONNECTOR) (OEM# 35240-50050)"
127929A,"SOLENOID, TOYOTA A760, A960, AB60E. LINEAR S4 (GREEN CONNECTOR) (OEM# 35240-50040) (AFTERMARKET)"
36510B,"SENSOR, VSS, OUTPUT SPEED SENSOR, FORD 5R110W (AFTERMARKET) (OEM# 3C3Z-7H103-AA, 7C3Z-7H103-A, 8C3Z-7H103-B)"
RFE-TCCREG-OS19,"VALVE, OVERSIZED CONVERTER REGULATOR VALVE (FITS 68RFE 2019-ON) (REQUIRES RFE-TCCREG-TK19)"
75021,"O-RING, PUMP, HYUNDAI A4CF0 (2006-2018)"
057952,"BAND, 4L60E : 2ND & 4TH (INTERMEDIATE) - 2.28"" (HEAT TREATED THICK ANCHORS) (OEM# 8673175, 2420113, 8654144) (IND: 77700A) (MADE IN USA)"
803708,"FR PLATE, BMW MINI, INPUT, REVERSE (VT2) (OD: 6.607"" - 24T)"
98423,"MCS, CONVERTER, HONDA BC5A, MC4A (13-14) (OEM# 91207-RJ2-003)"
142030X,"BUSHING KIT, MITSUBISHI R4A51, V4A51, R5A51, V5A51 (08 BUSHINGS)"
32430CX,"BUSHING KIT ZF8HP45, ZF8HP55, ZF8HP70E 2008-ON (7 BUSHINGS)"
059710,"FR PLATE, KM170 SERIES FRONT/REAR HEG 89+"
105752D,"FR MODULE, NISSAN RE4F04A, RE4F04B 03+"
110700,FR 5040LE LM 2ND COA/DIR/UD 89+AF23-5 2ND COA 03+
119954,SOLENOID EPC VW 095/096/097/01M
45030G,"BUSHING KIT 5R55N, 5R55S & 5R55W 1999-ON (5 BUSHINGS)"
46313-23010,"SOLENOID, VFS, EPC, A4CF1/A4CF2, A5GF1 (3.3 3.7 OHMS) (OEM# 46313-23010)"
68700,"BAND, MERCEDES 722.3, 722.5 (2ND GEAR) B1(OEM# 126-270-1862)"
68704RB,"BAND MERCEDES 722.4 REAR B2, OEM (190 & C CLASS) 84-ON. OEM# 201-270-1062"
89710C,"FILTER, TOYOTA A540E/H (1988-ON) (SQUARE HOLE, 2 CLIPS) (OEM# 35330-32030, 35330-32031, 35303-32012)"
94710B,FILTER TOYOTA A442F  FJ80 92-95 LAND CRUISER (OEM# 35330-60010)
96582B,"PLANET, CD4E FORWARD, 4 GEARS (LOW INTERMEDIATE) OE#3LP-7A398-AA"
X175700-166,"FR PLATE, SUZUKI 4AT,JF402E  C1 FRONT 97-ON"
39741-42K,"KIT, ACCUMULATOR PISTON 09D, TF-60SN, TF-80SC, TF-81SC, TR-60SN (INCLUDES: PISTON, SLEEVE, O-RING, SPRINGS)"
76554RK,"SNAP RING, INTERMEDIATE SPIRAL (3 SET) AOD, AODE, 4R70W, 4R75W"
98710L,FILTER ACURA LEGEND FWD 4 SP HONDA MPYA 96-UP 25420-PY4-000
